comercializadora;tarifa;kwh_anuales;coste_energia_anual;coste_potencia_anual;coste_total_anual;coste_medio_eur_kwh;ref_mediana_coste_total_anual;ref_peor_coste_total_anual;ahorro_vs_mediana_eur_anual;ahorro_vs_peor_eur_anual;ahorro_vs_mediana_pct_anual;ahorro_vs_peor_pct_anual;pct_coste_energia_anual;pct_coste_potencia_anual;kwh_punta_LV;kwh_llano_LV;kwh_valle_LV;kwh_valle_SD;pct_kwh_punta_LV;pct_kwh_llano_LV;pct_kwh_valle_LV;pct_kwh_valle_SD
Pulpus;CC OCU 2025;3593,879;578,6019;235,0408;813,6427;0,2264;711,9817;953,7403;-101,6609;140,0977;-14,2786;14,6893;71,1125;28,8875;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Pulpus;CC Neptuno Spock 2025;3593,879;603,7213;219,8477;823,569;0,2292;711,9817;953,7403;-111,5872;130,1714;-15,6728;13,6485;73,3055;26,6945;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Bassoms;Luz a precio de coste;3593,879;579,8912;244,4769;824,3681;0,2294;711,9817;953,7403;-112,3864;129,3722;-15,785;13,5647;70,3437;29,6563;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Proxime;Sun Club;3593,879;579,8295;245,8107;825,6402;0,2297;711,9817;953,7403;-113,6585;128,1001;-15,9637;13,4313;70,2279;29,7721;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
MIT Energía;Hogar Solar con Monedero Solar;3593,879;593,1323;237,1781;830,3104;0,231;711,9817;953,7403;-118,3287;123,4299;-16,6196;12,9417;71,435;28,565;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Comprenergía;Plan Solar;3593,879;643,399;188,1355;831,5346;0,2314;711,9817;953,7403;-119,5528;122,2058;-16,7916;12,8133;77,3749;22,6251;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Comprenergía;Plan Hagámoslo Fácil;3593,879;602,5881;229,154;831,742;0,2314;711,9817;953,7403;-119,7603;121,9983;-16,8207;12,7916;72,4489;27,5511;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
MIT Energía;Precio Fijo 24H;3593,879;641,6574;197,4899;839,1473;0,2335;711,9817;953,7403;-127,1655;114,5931;-17,8608;12,0151;76,4654;23,5346;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Eodesa;One Luz;3593,879;598,8513;242,3368;841,1881;0,2341;711,9817;953,7403;-129,2063;112,5522;-18,1474;11,8011;71,1911;28,8089;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Ibertrola;24H;3593,879;620,216;224,5104;844,7264;0,235;711,9817;953,7403;-132,7446;109,0139;-18,6444;11,4301;73,4221;26,5779;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Ibertrola;Plan Ahorro Solar;3593,879;672,1129;172,6488;844,7617;0,2351;711,9817;953,7403;-132,7799;108,9787;-18,6493;11,4265;79,5624;20,4376;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Proxime;BV-Tarifa Cristalina;3593,879;597,0811;249,4193;846,5003;0,2355;711,9817;953,7403;-134,5186;107,24;-18,8935;11,2441;70,5352;29,4648;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Naturgz;Tarifa Noche;3593,879;601,3502;247,1895;848,5397;0,2361;711,9817;953,7403;-136,5579;105,2006;-19,18;11,0303;70,8688;29,1312;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
